# Generated by gen_pad_moveset.py - one fighter's full moveset.
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
45 0000 0 0 0 0
12 0000 100 0 0 0
3 0100 100 0 0 0
45 0000 0 0 0 0
3 0100 62 0 0 0
40 0000 0 0 0 0
3 0100 0 62 0 0
40 0000 0 0 0 0
3 0100 0 -62 0 0
40 0000 0 0 0 0
2 0000 100 0 0 0
3 0100 100 0 0 0
55 0000 0 0 0 0
2 0000 0 100 0 0
3 0100 0 100 0 0
55 0000 0 0 0 0
2 0000 0 -100 0 0
3 0100 0 -100 0 0
55 0000 0 0 0 0
3 0010 0 0 0 0
45 0000 0 0 0 0
30 0000 0 0 0 200
20 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 100 0 0 200
40 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 -100 0 0 200
40 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 0 -100 0 200
40 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 -100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 100 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
18 0000 0 0 0 0
3 0100 0 -100 0 0
80 0000 0 0 0 0
3 0400 0 0 0 0
12 0000 0 0 0 0
3 0400 0 0 0 0
70 0000 0 0 0 0
4 0200 0 0 0 0
80 0000 0 0 0 0
4 0200 100 0 0 0
90 0000 0 0 0 0
4 0200 0 100 0 0
110 0000 0 0 0 0
4 0200 0 -100 0 0
90 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 0 0 0
100 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 100 0 0 0
100 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 100 0 0
120 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 -100 0 0
120 0000 0 0 0 0
3 0008 0 0 0 0
70 0000 0 0 0 0
50 0000 0 -100 0 0
20 0000 0 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
40 0000 0 0 0 0
40 0000 62 0 0 0
30 0000 0 0 0 0
150 0000 0 0 0 0
