# aerials - generated by gen_pad_units.py
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 -100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 100 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
18 0000 0 0 0 0
3 0100 0 -100 0 0
80 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 -100 0 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
3 0100 0 100 0 0
70 0000 0 0 0 0
3 0400 0 0 0 0
18 0000 0 0 0 0
3 0100 0 -100 0 0
80 0000 0 0 0 0
120 0000 0 0 0 0
