# air_specials - generated by gen_pad_units.py
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 0 0 0
110 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 100 0 0 0
110 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 100 0 0
130 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 -100 0 0
130 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 0 0 0
110 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 100 0 0 0
110 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 100 0 0
130 0000 0 0 0 0
3 0400 0 0 0 0
14 0000 0 0 0 0
4 0200 0 -100 0 0
130 0000 0 0 0 0
120 0000 0 0 0 0
