# grab_defense - generated by gen_pad_units.py
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
3 0010 0 0 0 0
50 0000 0 0 0 0
30 0000 0 0 0 200
25 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 100 0 0 200
45 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 -100 0 0 200
45 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 0 -100 0 200
45 0000 0 0 0 0
3 0010 0 0 0 0
50 0000 0 0 0 0
30 0000 0 0 0 200
25 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 100 0 0 200
45 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 -100 0 0 200
45 0000 0 0 0 0
4 0000 0 0 0 200
3 0000 0 -100 0 200
45 0000 0 0 0 0
120 0000 0 0 0 0
