# jabs_tilts - generated by gen_pad_units.py
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
45 0000 0 0 0 0
12 0000 100 0 0 0
3 0100 100 0 0 0
45 0000 0 0 0 0
3 0100 62 0 0 0
40 0000 0 0 0 0
3 0100 0 62 0 0
40 0000 0 0 0 0
3 0100 0 -62 0 0
40 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
9 0000 0 0 0 0
3 0100 0 0 0 0
45 0000 0 0 0 0
12 0000 100 0 0 0
3 0100 100 0 0 0
45 0000 0 0 0 0
3 0100 62 0 0 0
40 0000 0 0 0 0
3 0100 0 62 0 0
40 0000 0 0 0 0
3 0100 0 -62 0 0
40 0000 0 0 0 0
120 0000 0 0 0 0
