# movement - generated by gen_pad_units.py
# frames buttons_hex stickX stickY triggerL triggerR
300 0000 0 0 0 0
40 0000 62 0 0 0
30 0000 0 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
40 0000 0 0 0 0
3 0400 0 0 0 0
12 0000 0 0 0 0
3 0400 0 0 0 0
80 0000 0 0 0 0
50 0000 0 -100 0 0
25 0000 0 0 0 0
3 0008 0 0 0 0
70 0000 0 0 0 0
40 0000 62 0 0 0
30 0000 0 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
8 0000 100 0 0 0
8 0000 -100 0 0 0
40 0000 0 0 0 0
3 0400 0 0 0 0
12 0000 0 0 0 0
3 0400 0 0 0 0
80 0000 0 0 0 0
50 0000 0 -100 0 0
25 0000 0 0 0 0
3 0008 0 0 0 0
70 0000 0 0 0 0
120 0000 0 0 0 0
