path,version,stage,nplayers,chars,last_frame,ucf
Gang-Steals\10\Game_20190309T081336.slp,1.7.1,32,2,20 7,7183,1
Gang-Steals\10\Game_20190309T081603.slp,1.7.1,31,2,2 7,11542,1
Gang-Steals\10\Game_20190309T094156.slp,1.7.1,31,2,20 9,8508,1
Gang-Steals\10\Game_20190309T094432.slp,1.7.1,28,2,20 9,9275,1
Gang-Steals\10\Game_20190309T094726.slp,1.7.1,2,2,20 9,10890,1
Gang-Steals\10\Game_20190309T095039.slp,1.7.1,8,2,20 9,9019,1
Gang-Steals\10\Game_20190309T095326.slp,1.7.1,3,2,20 9,13335,1
Gang-Steals\10\Game_20190309T095728.slp,1.7.1,3,2,20 9,2969,1
Gang-Steals\10\Game_20190309T100244.slp,1.7.1,2,2,19 9,10451,1
Gang-Steals\10\Game_20190309T100601.slp,1.7.1,8,2,19 9,9830,1
Gang-Steals\10\Game_20190309T101101.slp,1.7.1,31,2,16 2,3004,1
Gang-Steals\10\Game_20190309T101209.slp,1.7.1,28,2,19 2,8633,1
Gang-Steals\10\Game_20190309T101531.slp,1.7.1,28,2,19 2,10608,1
Gang-Steals\10\Game_20190309T102231.slp,1.7.1,2,2,12 2,8747,1
Gang-Steals\10\Game_20190309T102513.slp,1.7.1,28,2,12 2,7638,1
Gang-Steals\10\Game_20190309T102904.slp,1.7.1,31,2,9 2,9189,1
Gang-Steals\10\Game_20190309T103212.slp,1.7.1,2,2,13 2,9934,1
Gang-Steals\10\Game_20190309T104050.slp,1.7.1,31,2,9 2,8749,1
Gang-Steals\10\Game_20190309T104330.slp,1.7.1,8,2,9 2,8341,1
Gang-Steals\10\Game_20190309T104747.slp,1.7.1,31,2,20 9,6844,1
Gang-Steals\10\Game_20190309T105019.slp,1.7.1,8,2,20 9,4595,1
Gang-Steals\10\Game_20190309T105153.slp,1.7.1,31,2,20 9,4426,1
Gang-Steals\10\Game_20190309T110422.slp,1.7.1,31,2,15 0,11197,1
Gang-Steals\10\Game_20190309T110743.slp,1.7.1,32,2,15 0,14001,1
Gang-Steals\10\Game_20190309T111150.slp,1.7.1,2,2,15 0,12427,1
Gang-Steals\10\Game_20190309T113404.slp,1.7.1,31,2,0 14,9356,1
Gang-Steals\10\Game_20190309T113712.slp,1.7.1,31,2,20 14,8671,1
Gang-Steals\10\Game_20190309T114247.slp,1.7.1,8,2,2 2,9135,1
Gang-Steals\10\Game_20190309T114534.slp,1.7.1,31,2,2 2,10409,1
Gang-Steals\10\Game_20190309T114843.slp,1.7.1,31,2,2 2,1093,1
Gang-Steals\10\Game_20190309T114947.slp,1.7.1,8,2,22 2,14392,1
Gang-Steals\10\Game_20190309T115401.slp,1.7.1,3,2,22 2,20618,1
Gang-Steals\10\Game_20190309T120006.slp,1.7.1,31,2,22 2,23068,1
Gang-Steals\10\Game_20190309T120908.slp,1.7.1,32,2,0 15,10823,1
Gang-Steals\10\Game_20190309T121234.slp,1.7.1,8,2,0 2,10883,1
Gang-Steals\10\Game_20190309T121713.slp,1.7.1,31,2,2 20,2772,1
Gang-Steals\10\Game_20190309T121814.slp,1.7.1,2,2,2 20,8982,1
Gang-Steals\10\Game_20190309T122123.slp,1.7.1,8,2,2 20,9737,1
Gang-Steals\10\Game_20190309T122730.slp,1.7.1,31,2,20 19,10926,1
Gang-Steals\10\Game_20190309T123052.slp,1.7.1,8,2,20 19,11771,1
Gang-Steals\10\Game_20190309T123841.slp,1.7.1,31,2,20 19,1743,1
Gang-Steals\10\Game_20190309T123923.slp,1.7.1,28,2,20 19,14786,1
Gang-Steals\10\Game_20190309T124345.slp,1.7.1,31,2,20 19,9024,1
Gang-Steals\10\Game_20190309T130054.slp,1.7.1,31,2,9 20,7792,1
Gang-Steals\10\Game_20190309T130332.slp,1.7.1,31,2,0 0,5139,1
Gang-Steals\10\Game_20190309T131436.slp,1.7.1,28,2,9 2,4846,1
Gang-Steals\10\Game_20190309T150106.slp,1.7.1,28,2,20 19,15724,1
Gang-Steals\10\Game_20190309T150542.slp,1.7.1,31,2,20 19,9413,1
Gang-Steals\10\Game_20190309T152203.slp,1.7.1,31,2,12 25,10645,1
Gang-Steals\10\Game_20190309T152515.slp,1.7.1,31,2,12 25,12529,1
Gang-Steals\10\Game_20190309T152859.slp,1.7.1,2,2,12 25,13151,1
Gang-Steals\10\Game_20190309T153451.slp,1.7.1,32,2,2 9,5808,1
Gang-Steals\10\Game_20190309T153642.slp,1.7.1,3,2,2 9,2044,1
Gang-Steals\10\Game_20190309T153858.slp,1.7.1,8,2,20 2,7517,1
Gang-Steals\10\Game_20190309T154117.slp,1.7.1,31,2,20 2,7000,1
Gang-Steals\10\Game_20190309T154328.slp,1.7.1,28,2,20 2,7486,1
Gang-Steals\10\Game_20190309T154626.slp,1.7.1,8,2,20 2,6348,1
Gang-Steals\10\Game_20190309T154825.slp,1.7.1,3,2,20 2,11269,1
Gang-Steals\10\Game_20190309T155218.slp,1.7.1,32,2,20 2,5205,1
Gang-Steals\10\Game_20190309T155358.slp,1.7.1,2,2,20 2,8717,1
Gang-Steals\10\Game_20190309T155635.slp,1.7.1,2,2,20 2,6850,1
Gang-Steals\10\Game_20190309T155843.slp,1.7.1,31,2,20 2,7078,1
Gang-Steals\10\Game_20190309T160201.slp,1.7.1,3,2,9 2,10110,1
Gang-Steals\10\Game_20190309T160503.slp,1.7.1,8,2,9 2,7046,1
Gang-Steals\10\Game_20190309T160714.slp,1.7.1,32,2,9 2,10324,1
Gang-Steals\10\Game_20190309T161020.slp,1.7.1,28,2,9 2,9325,1
Gang-Steals\10\Game_20190309T161314.slp,1.7.1,3,2,9 2,12321,1
Gang-Steals\10\Game_20190309T161718.slp,1.7.1,8,2,9 15,10615,1
Gang-Steals\10\Game_20190309T162033.slp,1.7.1,31,2,2 15,2875,1
Gang-Steals\10\Game_20190309T162135.slp,1.7.1,28,2,2 15,9454,1
Gang-Steals\10\Game_20190309T162427.slp,1.7.1,32,2,9 15,13044,1
Gang-Steals\10\Game_20190309T162827.slp,1.7.1,2,2,9 15,7292,1
Gang-Steals\10\Game_20190309T163042.slp,1.7.1,2,2,9 15,9423,1
Gang-Steals\10\Game_20190309T163333.slp,1.7.1,32,2,9 15,11296,1
Gang-Steals\10\Game_20190309T163656.slp,1.7.1,8,2,9 15,16038,1
Gang-Steals\10\Game_20190309T164137.slp,1.7.1,31,2,9 15,16996,1
Gang-Steals\10\Game_20190309T164635.slp,1.7.1,3,2,9 15,7735,1
Gang-Steals\10\Game_20190309T164858.slp,1.7.1,28,2,9 15,12630,1
Gang-Steals\10\Game_20190309T165352.slp,1.7.1,28,2,20 2,4952,1
Gang-Steals\10\Game_20190309T165535.slp,1.7.1,3,2,20 2,8050,1
Gang-Steals\10\Game_20190309T165807.slp,1.7.1,32,2,20 2,6413,1
